,AbnormalExtFormActionR,AbnormalFormAction,AgeDomain,AtSymbol,DomainInSubdomains,DoubleSlashInPath,EmbeddedBrandName,ExtFavicon,ExtMetaScriptLinkRT,FakeLinkInStatusBar,FrequentDomainNameMismatch,HostnameLength,HttpsInPath,IframeOrFrame,ImagesOnlyInForm,IpAddress,Malicious,MissingTitle,NoHttps,NumAmpersand,NumDash,NumDashInHost,NumDots,NumHash,NumNumericChars,NumPercent,NumQueryComponents,NumSensitiveWords,NumUnderscore,PathLength,PathLevel,PctExtHyperlinks,PctExtNullSelfRedirectHyperlinksRT,PctExtResourceUrls,PctExtResourceUrlsRT,PctNullSelfRedirectHyperlinks,PopUpWindow,QueryLength,RelativeFormAction,RightClickDisabled,SubdomainLevel,SubdomainLevelRT,SubmitInfoToEmail,TildeSymbol,URL,UrlLength,UrlLengthRT,rank_country,rank_host,src_escape_cnt,src_eval_cnt,src_exec_cnt,src_search_cnt
5394,1,0,1,0,0,0,1,1,0,0,0,13,0,1,0,1,0,0.0,1,0,4,0,1,0,0,0,1,0,0,36,4,12.462908011869436,0.0,95.45454545454545,-1,0.0,-1,39,1,-1,0,-1,1,0,craftbeer.com/pages/stories/featured-brewery/show?title=boulevard-brewing-company-history,97,-1,-1,-1,0,0,0,0
5395,-1,0,0,0,0,0,1,0,-1,0,1,19,0,-1,0,0,0,1.0,0,0,0,0,4,0,9,0,0,1,0,28,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,2,1,-1,0,cursos.ead.senac.br/moodle/hn/sab/854665818.php,54,1,-1,-1,0,0,0,0
5396,1,0,0,0,0,0,1,1,1,0,1,18,0,1,0,1,0,0.0,1,0,0,0,2,0,3,0,1,0,1,1,1,1.0,1.0,1.0,1,1.0,-1,11,0,-1,0,-1,1,0,derekhansen.com.au/?page_id=387,39,1,-1,-1,0,0,0,0
5397,1,0,1,0,0,0,1,-1,1,0,1,11,0,1,0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,39,2,100.0,0.0,1.0,1,0.0,-1,0,0,-1,0,-1,1,0,dealnay.com/dealfinder/detachable+hardware+docking,58,1,-1,-1,0,0,0,0
5398,1,0,0,0,0,0,1,1,0,0,1,13,0,1,1,1,0,0.0,1,0,0,0,2,0,4,0,0,0,0,37,4,98.71794871794873,0.0,66.66666666666666,-1,0.0,-1,0,0,-1,0,-1,1,0,csufresno.edu/catoffice/archives/0001/history.html,58,1,-1,-1,0,0,0,0
5399,1,0,1,0,0,0,1,-1,1,0,1,12,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,1,1,32,2,100.0,0.0,50.0,0,0.0,-1,0,0,-1,0,-1,1,0,damballa.com/solutions/damballa_failsafe.php,52,1,-1,-1,0,0,0,0
5400,1,0,1,0,0,0,1,-1,1,0,1,22,0,1,0,1,0,0.0,1,0,6,1,2,0,8,0,0,0,0,68,3,12.5,0.0,50.0,0,0.0,-1,0,0,-1,0,-1,1,0,collegesports-fans.com/basketball-previews/2008-2009-previews/missouri-tigers-preview.html,98,-1,-1,-1,0,0,0,0
5401,1,0,1,0,0,0,1,-1,0,0,0,15,0,1,0,1,0,0.0,1,0,0,0,1,0,4,0,0,0,0,25,4,97.08222811671088,0.0,0.0,1,0.0,-1,0,0,-1,0,-1,1,0,cyclingnews.com/road/races/calendar/2009,48,1,-1,-1,0,0,0,0
5402,-1,0,0,0,0,0,1,0,-1,0,1,8,0,-1,0,1,0,1.0,1,0,0,0,2,0,2,1,0,0,0,27,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,cylex.ca/montreal/jean%20coutu.html,43,1,-1,-1,0,0,0,0
5403,-1,0,0,0,0,0,1,0,-1,0,1,6,0,-1,0,1,0,1.0,1,0,4,0,1,0,14,0,0,0,0,61,5,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,ctv.ca/CTVNews/Politics/20111024/lise-theriault-union-fight-111024/,75,0,-1,-1,0,0,0,0
